"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"l-790580";"Z_1";"10";"product";"TRUE";"3";"1";"0.2";"2";"0.1471";"0.5596";"0.3251";"0.858";"0.2194";"0.4719";"0.0697";"0.505";"0.1473";"0.5342";"0.7141";"0.7948";"0.8361";"0.1951";"0.7371";"0.4739";"0.4875";"0.7709";"0.3448";"0.0726";"0.3688";"0.4042";"0.4713";"0.8685";"0.4094";"0.7239";"0.725";"0.8431";"0.4591";"0.6249";"0.8493"
"i-686905";"Z_4";"5";"product";"FALSE";"100";"0.2";"0.5";"3";"0.1593";"0.6159";"0.7699";"0.3097";"0.001";"1.0302";"0.6036";"0.1808";"0.0378";"1.4077";"0.7249";"0.0415";"0.6328";"0.2447";"0.0024";"1.0173";"1.8503";"0.2763";"0.6793";"0.598";"0.0448";"1.2277";"1.3513";"0.0307";"0.9654";"0.749";"0.6473";"0.6568";"0.3954";"0.7564";"1.1543"
"l-712999";"Z_1";"3";"product";"TRUE";"10";"1";"0.2";"4";"1.7518";"0.6155";"1.0625";"0.652";"0.416";"1.8073";"1.6662";"1.8196";"1.1039";"1.3612";"0.6387";"0.7043";"0.8964";"0.6245";"1.2439";"1.8351";"0.6662";"1.5701";"0.9831";"1.2871";"1.4276";"0.84";"1.1778";"0.4498";"0.8964";"1.3656";"1.0969";"1.0443";"1.7874";"1.2659";"0.933"
"k-655161";"Z_3";"50";"sum";"FALSE";"50";"0.2";"0.1";"3";"0.3424";"0.3044";"0.1277";"0.8437";"0.4372";"0.6911";"0.27";"1.1343";"0.4423";"0.3044";"1.2617";"0.4279";"0.2643";"0.2545";"0.1458";"0.1394";"0.7279";"0.4148";"0.0651";"0.136";"0.0582";"0.2137";"0.3765";"0.0909";"0.0334";"0.0954";"0.0421";"0.0494";"0.0325";"0.0622";"0.0055"
"a-889981";"Z_2";"5";"sum";"FALSE";"10";"0.5";"0";"1";"0.2102";"0.0847";"0.0489";"0.038";"0.0396";"0.0884";"0.2143";"0.3827";"0.1895";"0.0955";"0.1479";"0.0555";"0.2162";"0.0497";"0.1616";"0.0844";"0.04";"0.0359";"0.1069";"0.1078";"0.151";"0.1865";"0.0871";"0.2115";"0.113";"0.0324";"0.0517";"0.0362";"0.0868";"0.1938";"0.0214"
"j-334789";"Z_1";"3";"sum";"TRUE";"2";"1";"0";"4";"0.4349";"0.3931";"0.3478";"0.3557";"0.2386";"0.5944";"0.397";"0.5924";"0.3122";"0.64";"0.4231";"0.7271";"0.5344";"0.2387";"0.4312";"0.6395";"0.3791";"0.7732";"0.5104";"0.443";"0.4732";"0.6037";"0.635";"0.4686";"0.4614";"0.8032";"0.5546";"0.5314";"0.6487";"0.5488";"0.8072"
"k-259727";"Z_6";"50";"sum";"TRUE";"5";"0.1";"10";"3";"0";"0";"0";"1e-04";"8e-04";"2e-04";"0";"2e-04";"4e-04";"0";"0.0124";"5e-04";"0.0125";"0.0016";"0";"0";"0.0154";"0.0016";"0.0702";"0.0016";"0.0018";"0.0194";"4e-04";"0.1768";"0.8073";"0.0638";"0.0025";"0.0069";"0.6285";"1.0108";"1.5213"
"s-809109";"Z_5";"50";"product";"FALSE";"20";"10";"0.5";"2";"0.7136";"0.6649";"0.4886";"0.6705";"0.3517";"0.558";"0.8121";"0.6302";"0.428";"0.452";"0.7981";"0.2736";"0.8068";"0.3447";"0.3892";"0.666";"0.4654";"0.2553";"0.6366";"0.4285";"0.2094";"0.5363";"0.2853";"0.3421";"0.6235";"0.4885";"0.3369";"0.1765";"0.5385";"0.9841";"0.4688"
"o-550536";"Z_6";"10";"sum";"TRUE";"2";"2";"0.1";"2";"0.3719";"0.3609";"0.6861";"0.5089";"0.1465";"1.3621";"0.7421";"1.2693";"0.6064";"1.176";"0.5552";"0.5084";"0.2281";"0.348";"0.8055";"0.9661";"0.8148";"0.6319";"0.2158";"1.4684";"0.6247";"0.2077";"1.1339";"1.2379";"0.2172";"0.199";"1.6399";"1.7596";"0.2798";"0.4946";"0.976"
"t-903015";"Z_2";"10";"product";"TRUE";"100";"10";"0.5";"4";"1.405";"1.7016";"1.9219";"1.9173";"1.8609";"0.7126";"1.8874";"1.7464";"1.7121";"1.4068";"1.3834";"1.3694";"1.9243";"1.7838";"1.917";"1.8443";"1.2273";"1.3818";"1.0293";"1.9702";"1.9043";"1.9813";"1.8658";"1.9074";"0.478";"1.8963";"0.5579";"0.7764";"1.1934";"1.9153";"1.7751"
"j-649235";"Z_1";"5";"sum";"FALSE";"20";"0.2";"10";"2";"1.2412";"1.2807";"1.461";"1.5584";"1.4253";"0.8771";"1.1748";"1.0779";"1.3755";"1.3465";"1.3363";"1.7307";"1.2789";"1.5608";"1.4449";"1.1063";"0.9547";"1.2252";"1.6395";"1.3775";"1.9435";"1.3433";"1.3713";"1.3746";"1.5039";"1.0308";"1.3251";"1.5243";"1.8422";"1.2863";"1.985"
"h-940139";"Z_2";"50";"sum";"TRUE";"20";"0.1";"5";"3";"1.3519";"0.0489";"0.0399";"0.0042";"0.0823";"0.766";"1.0011";"1.1389";"1.3884";"0.0291";"0.0138";"0.0443";"0.0055";"0.0222";"0.0036";"0.379";"0.4074";"0.5275";"0.233";"0.9377";"0.988";"0.0021";"0.0453";"0.0068";"0.0137";"0.1158";"0.8039";"0.2726";"0.0998";"0.001";"0.1596"
"s-498520";"Z_3";"2";"product";"TRUE";"10";"1";"10";"2";"3e-04";"0.419";"0";"0";"0";"0.0124";"0";"3e-04";"0.0111";"0.1823";"0.2351";"1.0544";"0";"0";"0";"0";"0.0121";"5e-04";"0";"0.0037";"6e-04";"0.064";"0.8082";"0.1054";"0";"0.0202";"0.4231";"8e-04";"0.0051";"0.7928";"0.2591"
"g-408956";"Z_6";"100";"product";"TRUE";"50";"5";"0.1";"2";"1.1773";"0.9642";"0.1665";"0.2887";"1.306";"1.1295";"0.1286";"0.1973";"1.8006";"0.3086";"0.4823";"0.9189";"0.4583";"0.2147";"1.0799";"0.0848";"0.5245";"1.9183";"0.2179";"0.3502";"1.0365";"0.0564";"0.0354";"1.0818";"0.2237";"0.1369";"0.0577";"0.4205";"0.1583";"0.0345";"0.0515"
"g-248619";"Z_4";"5";"sum";"TRUE";"100";"0.2";"2";"1";"0.0487";"0.0228";"0.5372";"0.2762";"0.7996";"0.0095";"0.7231";"0.1578";"0.3587";"0.7541";"0.0431";"0.4677";"0.7405";"1.006";"0.0188";"0.6263";"0.0189";"0.4617";"0.4162";"1.1268";"0.024";"0.3489";"1.2883";"0.0132";"0.5578";"0.3093";"0.8277";"0.0171";"0.5952";"0.4215";"0.5282"
"p-694606";"Z_4";"5";"product";"FALSE";"100";"0.1";"0.2";"3";"0.0187";"0.05";"1.5548";"0.0423";"1.5599";"0.1049";"1.7261";"0.1229";"1.6325";"1.6941";"0.1516";"1.7638";"1.7339";"1.5145";"1.3906";"1.8922";"0.2876";"1.6749";"1.6987";"1.3707";"0.7914";"1.7051";"1.4288";"1.1263";"0.8245";"1.5819";"0.8696";"0.5309";"0.6335";"0.4019";"0.1763"
"m-695183";"Z_4";"100";"sum";"FALSE";"20";"0";"1";"2";"0.2999";"0.34";"0.9962";"0.6271";"0.0675";"0.4388";"1.1544";"0.4077";"0.083";"0.945";"0.3906";"0.0617";"1.2062";"0.2778";"0.2091";"0.8341";"0.2582";"0.0756";"1.7663";"1.0814";"0.1";"1.2621";"0.4311";"0.1519";"1.1661";"1.1682";"0.7467";"0.2324";"1.4452";"0.833";"1.4149"
"j-686573";"Z_1";"20";"product";"TRUE";"3";"0";"5";"1";"0.5795";"0.3988";"0.1439";"0.2337";"0.2444";"1.7228";"0.8786";"0.7813";"1.1846";"0.4802";"0.3171";"0.6029";"0.0997";"0.2444";"0.3988";"1.1699";"1.1708";"1.6988";"1.0528";"0.9519";"1.1312";"0.7126";"0.3523";"0.4503";"0.5694";"1.5086";"1.2114";"0.739";"1.2366";"0.7662";"0.7987"
"z-874106";"Z_3";"20";"product";"FALSE";"5";"0.2";"1";"4";"0.1186";"0.2268";"0.0732";"0.1754";"0.1345";"0.1254";"0.1511";"0.1426";"0.0871";"0.2736";"0.3537";"0.2754";"0.1735";"0.0836";"0.1531";"0.0901";"0.1324";"0.2149";"0.1344";"0.0632";"0.0248";"0.1496";"0.2171";"0.3465";"0.1238";"0.0583";"0.162";"0.1887";"0.1056";"0.194";"0.1918"
"x-371787";"Z_3";"3";"sum";"TRUE";"5";"0.2";"2";"2";"0.802";"0.1355";"0.7805";"0.6793";"0.7607";"0.6507";"1.1259";"1.0173";"0.7489";"0.0838";"0.16";"1.7908";"0.858";"1.7713";"0.7753";"0.9083";"0.3515";"1.5314";"0.9412";"0.4427";"0.7987";"0.331";"0.7082";"1.2589";"0.9431";"0.634";"1.8274";"1.2995";"0.6488";"1.3937";"1.5644"
"d-118062";"Z_1";"10";"sum";"FALSE";"5";"0.5";"2";"4";"0.8374";"0.742";"0.5425";"1.3355";"1.0226";"0.8284";"0.6719";"1.583";"1.2403";"0.8207";"1.1776";"1.2329";"0.6387";"0.8044";"1.5199";"0.8014";"1.3906";"1.1559";"0.6383";"1.1292";"1.2845";"0.6468";"0.7191";"1.0785";"0.8576";"0.9788";"0.8843";"1.1594";"0.7972";"0.6303";"1.0929"
"e-625382";"Z_6";"10";"product";"TRUE";"10";"0.1";"0";"1";"1.4658";"1.901";"1.5604";"0.1662";"1.5123";"1.8221";"1.8131";"0.1231";"1.3812";"1.6285";"0.1593";"1.6136";"0.1474";"0.3104";"1.188";"1.3649";"0.149";"1.5318";"0.0794";"0.4068";"1.0409";"0.1898";"0.8933";"1.6247";"0.1854";"0.1092";"0.8948";"0.0744";"0.4215";"0.4103";"0.1143"
"l-557425";"Z_4";"2";"product";"TRUE";"2";"5";"0.1";"4";"1.48";"0.6506";"0.5062";"0.4313";"0.3424";"1.7723";"0.4275";"1.2289";"1.4628";"0.6302";"0.5452";"0.3029";"0.3412";"0.3421";"0.3714";"1.3827";"1.3825";"1.4514";"1.1769";"1.2446";"1.037";"0.5327";"0.2944";"0.3348";"0.2636";"0.9434";"1.0903";"1.5684";"1.0565";"0.2205";"1.037"
"o-474019";"Z_3";"2";"sum";"FALSE";"2";"2";"1";"1";"0";"0.2107";"0";"0";"0.2533";"0.1397";"0.0013";"0";"0.2493";"4e-04";"0.2376";"0.3133";"0";"0.0792";"0.2928";"0.0131";"0.3065";"0.1617";"0";"0.1893";"0.2805";"0";"0.0354";"0.0558";"0.6911";"0.0012";"0.2024";"0.1307";"0.8367";"0.3153";"0.1804"
"l-504162";"Z_3";"50";"sum";"TRUE";"20";"0";"0.2";"1";"0.5242";"0.2804";"1.051";"0.5433";"0.5033";"0.1788";"0.8391";"0.3348";"0.4645";"0.7222";"0.2587";"0.3132";"1.234";"0.4453";"0.2339";"0.407";"0.079";"0.2782";"0.5038";"0.4237";"0.125";"0.4734";"0.2311";"0.1351";"0.1394";"0.2185";"0.2067";"0.2675";"0.2549";"0.0974";"0.1631"
"v-911171";"Z_1";"100";"sum";"FALSE";"50";"0.5";"0.5";"2";"0.0268";"0.4652";"0.4631";"0.6652";"0.3352";"0.0159";"0.0079";"0.0247";"0.0105";"0.4086";"0.7986";"0.4001";"0.7304";"0.5007";"0.4073";"0.022";"0.0215";"0.0186";"0.0048";"0.0084";"0.0135";"0.3662";"0.4073";"0.4132";"0.4872";"0.0432";"0.0038";"0.0138";"0.0048";"0.2953";"0.0178"
